winnerteamid,localtime,tz,date,id,agoals,hteam,ateam,hgoals,updated,is_grand_final,abehinds,complete,ateamid,hteamid,roundname,hbehinds,unixtime,venue,winner,ascore,round,year,is_final,hscore,timestr,season
10.0,2014-04-04 19:50:00,+11:00,2014-04-04 19:50:00,2234,11,Hawthorn,Fremantle,21,2018-06-26 12:17:52,0,13,100,6,10,Round 3,11,1396601400,M.C.G.,Hawthorn,79,3,2014,0,137,Full Time,2014
18.0,2014-04-05 13:45:00,+11:00,2014-04-05 13:45:00,2254,15,Western Bulldogs,Richmond,15,2018-06-26 12:17:53,0,8,100,14,18,Round 3,10,1396665900,Docklands,Western Bulldogs,98,3,2014,0,100,Full Time,2014
16.0,2014-04-05 13:40:00,+11:00,2014-04-05 14:10:00,2270,21,Adelaide,Sydney,9,2018-06-26 12:17:53,0,8,100,16,1,Round 3,17,1396667400,Adelaide Oval,Sydney,134,3,2014,0,71,Full Time,2014
8.0,2014-04-05 15:40:00,+11:00,2014-04-05 16:40:00,2271,9,Gold Coast,Brisbane Lions,17,2018-06-26 12:17:53,0,7,100,2,8,Round 3,12,1396676400,Carrara,Gold Coast,61,3,2014,0,114,Full Time,2014
7.0,2014-04-05 19:40:00,+11:00,2014-04-05 19:40:00,2273,12,Collingwood,Geelong,11,2018-06-26 12:17:53,0,15,100,7,4,Round 3,10,1396687200,M.C.G.,Geelong,87,3,2014,0,76,Full Time,2014
17.0,2014-04-05 16:40:00,+11:00,2014-04-05 19:40:00,2272,8,West Coast,St Kilda,12,2018-06-26 12:17:53,0,10,100,15,17,Round 3,11,1396687200,Subiaco,West Coast,58,3,2014,0,83,Full Time,2014
9.0,2014-04-06 13:10:00,+10:00,2014-04-06 13:10:00,2274,7,Greater Western Sydney,Melbourne,10,2018-06-26 12:17:53,0,5,100,11,9,Round 3,19,1396753800,Sydney Showground,Greater Western Sydney,47,3,2014,0,79,Full Time,2014
12.0,2014-04-06 16:10:00,+10:00,2014-04-06 16:10:00,2282,13,North Melbourne,Port Adelaide,14,2018-06-26 12:17:53,0,12,100,13,12,Round 3,13,1396764600,Docklands,North Melbourne,90,3,2014,0,97,Full Time,2014
5.0,2014-04-06 19:10:00,+10:00,2014-04-06 19:10:00,2283,8,Essendon,Carlton,21,2018-06-26 12:17:53,0,9,100,3,5,Round 3,12,1396775400,M.C.G.,Essendon,57,3,2014,0,138,Full Time,2014
4.0,2014-04-11 19:50:00,+10:00,2014-04-11 19:50:00,2284,16,Richmond,Collingwood,10,2018-06-26 12:17:53,0,14,100,4,14,Round 4,12,1397209800,M.C.G.,Collingwood,110,4,2014,0,72,Full Time,2014
11.0,2014-04-12 13:45:00,+10:00,2014-04-12 13:45:00,2285,12,Carlton,Melbourne,7,2018-06-26 12:17:53,0,9,100,11,3,Round 4,16,1397274300,M.C.G.,Melbourne,81,4,2014,0,58,Full Time,2014
13.0,2014-04-12 13:40:00,+10:00,2014-04-12 14:10:00,2286,7,Port Adelaide,Brisbane Lions,24,2018-06-26 12:17:53,0,4,100,2,13,Round 4,15,1397275800,Adelaide Oval,Port Adelaide,46,4,2014,0,159,Full Time,2014
18.0,2014-04-12 16:40:00,+10:00,2014-04-12 16:40:00,2287,17,Greater Western Sydney,Western Bulldogs,12,2018-06-26 12:17:53,0,8,100,18,9,Round 4,11,1397284800,UNSW Canberra Oval,Western Bulldogs,110,4,2014,0,83,Full Time,2014
7.0,2014-04-12 19:40:00,+10:00,2014-04-12 19:40:00,2288,4,Geelong,West Coast,16,2018-06-26 12:17:53,0,8,100,17,7,Round 4,11,1397295600,GMHBA Stadium,Geelong,32,4,2014,0,107,Full Time,2014
10.0,2014-04-12 19:40:00,+10:00,2014-04-12 19:40:00,2289,23,Gold Coast,Hawthorn,7,2018-06-26 12:17:53,0,10,100,10,8,Round 4,7,1397295600,Carrara,Hawthorn,148,4,2014,0,49,Full Time,2014
12.0,2014-04-13 13:10:00,+10:00,2014-04-13 13:10:00,2290,13,Sydney,North Melbourne,6,2018-06-26 12:17:53,0,13,100,12,16,Round 4,12,1397358600,S.C.G.,North Melbourne,91,4,2014,0,48,Full Time,2014
1.0,2014-04-13 15:20:00,+10:00,2014-04-13 15:20:00,2291,20,St Kilda,Adelaide,7,2018-06-26 12:17:53,0,16,100,1,15,Round 4,8,1397366400,Docklands,Adelaide,136,4,2014,0,50,Full Time,2014
6.0,2014-04-13 14:40:00,+10:00,2014-04-13 16:40:00,2292,9,Fremantle,Essendon,18,2018-06-26 12:17:53,0,6,100,5,6,Round 4,5,1397371200,Subiaco,Fremantle,60,4,2014,0,113,Full Time,2014
14.0,2014-04-17 19:50:00,+10:00,2014-04-17 19:50:00,2293,15,Brisbane Lions,Richmond,9,2018-06-26 12:17:53,0,16,100,14,2,Round 5,9,1397728200,Gabba,Richmond,106,5,2014,0,63,Full Time,2014
4.0,2014-04-19 13:40:00,+10:00,2014-04-19 13:40:00,2294,8,Collingwood,North Melbourne,13,2018-06-26 12:17:53,0,10,100,12,4,Round 5,15,1397878800,M.C.G.,Collingwood,58,5,2014,0,93,Full Time,2014
16.0,2014-04-19 16:40:00,+10:00,2014-04-19 16:40:00,2306,11,Sydney,Fremantle,13,2018-06-26 12:17:54,0,9,100,6,16,Round 5,14,1397889600,S.C.G.,Sydney,75,5,2014,0,92,Full Time,2014
15.0,2014-04-19 19:40:00,+10:00,2014-04-19 19:40:00,2307,11,Essendon,St Kilda,9,2018-06-26 12:17:54,0,15,100,15,5,Round 5,11,1397900400,Docklands,St Kilda,81,5,2014,0,65,Full Time,2014
13.0,2014-04-19 17:40:00,+10:00,2014-04-19 19:40:00,2308,10,West Coast,Port Adelaide,7,2018-06-26 12:17:54,0,10,100,13,17,Round 5,14,1397900400,Subiaco,Port Adelaide,70,5,2014,0,56,Full Time,2014
1.0,2014-04-20 12:40:00,+10:00,2014-04-20 13:10:00,2309,10,Adelaide,Greater Western Sydney,21,2018-06-26 12:17:54,0,12,100,9,1,Round 5,11,1397963400,Adelaide Oval,Adelaide,72,5,2014,0,137,Full Time,2014
8.0,2014-04-20 15:20:00,+10:00,2014-04-20 15:20:00,2310,11,Melbourne,Gold Coast,11,2018-06-26 12:17:54,0,20,100,8,11,Round 5,12,1397971200,M.C.G.,Gold Coast,86,5,2014,0,78,Full Time,2014
3.0,2014-04-20 16:40:00,+10:00,2014-04-20 16:40:00,2311,18,Western Bulldogs,Carlton,13,2018-06-26 12:17:54,0,11,100,3,18,Round 5,13,1397976000,Docklands,Carlton,119,5,2014,0,91,Full Time,2014
7.0,2014-04-21 15:20:00,+10:00,2014-04-21 15:20:00,2312,12,Geelong,Hawthorn,15,2018-06-26 12:17:54,0,15,100,10,7,Round 5,16,1398057600,M.C.G.,Geelong,87,5,2014,0,106,Full Time,2014
4.0,2014-04-25 14:40:00,+10:00,2014-04-25 14:40:00,2313,8,Collingwood,Essendon,12,2018-06-26 12:17:54,0,12,100,5,4,Round 6,11,1398400800,M.C.G.,Collingwood,60,6,2014,0,83,Full Time,2014
2.0,2014-04-25 19:45:00,+10:00,2014-04-25 17:45:00,2314,12,St Kilda,Brisbane Lions,11,2018-06-26 12:17:54,0,10,100,2,15,Round 6,13,1398411900,Wellington,Brisbane Lions,82,6,2014,0,79,Full Time,2014
12.0,2014-04-25 18:45:00,+10:00,2014-04-25 20:45:00,2320,10,Fremantle,North Melbourne,8,2018-06-26 12:17:54,0,14,100,12,6,Round 6,13,1398422700,Subiaco,North Melbourne,74,6,2014,0,61,Full Time,2014
8.0,2014-04-26 13:40:00,+10:00,2014-04-26 13:40:00,2321,13,Gold Coast,Greater Western Sydney,20,2018-06-26 12:17:54,0,16,100,9,8,Round 6,14,1398483600,Carrara,Gold Coast,94,6,2014,0,134,Full Time,2014
3.0,2014-04-26 16:40:00,+10:00,2014-04-26 16:40:00,2322,12,Carlton,West Coast,14,2018-06-26 12:17:54,0,17,100,17,3,Round 6,8,1398494400,Docklands,Carlton,89,6,2014,0,92,Full Time,2014
16.0,2014-04-26 19:40:00,+10:00,2014-04-26 19:40:00,2323,9,Melbourne,Sydney,5,2018-06-26 12:17:54,0,15,100,16,11,Round 6,8,1398505200,M.C.G.,Sydney,69,6,2014,0,38,Full Time,2014
1.0,2014-04-27 13:10:00,+10:00,2014-04-27 13:10:00,2324,13,Western Bulldogs,Adelaide,12,2018-06-26 12:17:54,0,14,100,1,18,Round 6,11,1398568200,Docklands,Adelaide,92,6,2014,0,83,Full Time,2014
10.0,2014-04-27 15:20:00,+10:00,2014-04-27 15:20:00,2325,18,Richmond,Hawthorn,7,2018-06-26 12:17:54,0,10,100,10,14,Round 6,10,1398576000,M.C.G.,Hawthorn,118,6,2014,0,52,Full Time,2014
13.0,2014-04-27 16:10:00,+10:00,2014-04-27 16:40:00,2326,9,Port Adelaide,Geelong,16,2018-06-26 12:17:54,0,13,100,7,13,Round 6,11,1398580800,Adelaide Oval,Port Adelaide,67,6,2014,0,107,Full Time,2014
4.0,2014-05-02 19:50:00,+10:00,2014-05-02 19:50:00,2327,14,Carlton,Collingwood,10,2018-06-26 12:17:54,0,20,100,4,3,Round 7,10,1399024200,M.C.G.,Collingwood,104,7,2014,0,70,Full Time,2014
10.0,2014-05-03 13:45:00,+10:00,2014-05-03 13:45:00,2328,4,Hawthorn,St Kilda,27,2018-06-26 12:17:54,0,6,100,15,10,Round 7,13,1399088700,M.C.G.,Hawthorn,30,7,2014,0,175,Full Time,2014
13.0,2014-05-03 14:10:00,+10:00,2014-05-03 14:10:00,2329,20,Greater Western Sydney,Port Adelaide,15,2018-06-26 12:17:54,0,12,100,13,9,Round 7,7,1399090200,UNSW Canberra Oval,Port Adelaide,132,7,2014,0,97,Full Time,2014
11.0,2014-05-03 16:10:00,+10:00,2014-05-03 16:40:00,2330,11,Adelaide,Melbourne,9,2018-06-26 12:17:54,0,4,100,11,1,Round 7,13,1399099200,Adelaide Oval,Melbourne,70,7,2014,0,67,Full Time,2014
16.0,2014-05-03 19:40:00,+10:00,2014-05-03 19:40:00,2331,18,Brisbane Lions,Sydney,6,2018-06-26 12:17:54,0,15,100,16,2,Round 7,8,1399110000,Gabba,Sydney,123,7,2014,0,44,Full Time,2014
5.0,2014-05-03 19:40:00,+10:00,2014-05-03 19:40:00,2332,9,Essendon,Western Bulldogs,10,2018-06-26 12:17:54,0,11,100,18,5,Round 7,13,1399110000,Docklands,Essendon,65,7,2014,0,73,Full Time,2014
8.0,2014-05-04 13:10:00,+10:00,2014-05-04 13:10:00,2333,18,North Melbourne,Gold Coast,11,2018-06-26 12:17:54,0,12,100,8,12,Round 7,11,1399173000,Docklands,Gold Coast,120,7,2014,0,77,Full Time,2014
7.0,2014-05-04 15:20:00,+10:00,2014-05-04 15:20:00,2334,12,Geelong,Richmond,11,2018-06-26 12:17:54,0,4,100,14,7,Round 7,15,1399180800,M.C.G.,Geelong,76,7,2014,0,81,Full Time,2014
6.0,2014-05-04 14:40:00,+10:00,2014-05-04 16:40:00,2343,11,West Coast,Fremantle,7,2018-06-26 12:17:54,0,7,100,6,17,Round 7,12,1399185600,Subiaco,Fremantle,73,7,2014,0,54,Full Time,2014
16.0,2014-05-09 19:50:00,+10:00,2014-05-09 19:50:00,2344,13,Sydney,Hawthorn,15,2018-06-26 12:17:54,0,10,100,10,16,Round 8,17,1399629000,Stadium Australia,Sydney,88,8,2014,0,107,Full Time,2014
13.0,2014-05-10 13:10:00,+10:00,2014-05-10 13:40:00,2345,11,Port Adelaide,Fremantle,13,2018-06-26 12:17:54,0,10,100,6,13,Round 8,16,1399693200,Adelaide Oval,Port Adelaide,76,8,2014,0,94,Full Time,2014
5.0,2014-05-10 16:40:00,+10:00,2014-05-10 16:40:00,2346,9,Brisbane Lions,Essendon,8,2018-06-26 12:17:54,0,11,100,5,2,Round 8,9,1399704000,Gabba,Essendon,65,8,2014,0,57,Full Time,2014
18.0,2014-05-10 19:40:00,+10:00,2014-05-10 19:40:00,2347,15,Melbourne,Western Bulldogs,12,2018-06-26 12:17:54,0,9,100,18,11,Round 8,11,1399714800,M.C.G.,Western Bulldogs,99,8,2014,0,83,Full Time,2014
17.0,2014-05-11 14:40:00,+10:00,2014-05-11 16:40:00,2348,12,West Coast,Greater Western Sydney,30,2018-06-26 12:17:54,0,5,100,9,17,Round 8,8,1399790400,Subiaco,West Coast,77,8,2014,0,188,Full Time,2014
3.0,2014-05-12 19:20:00,+10:00,2014-05-12 19:20:00,2349,15,St Kilda,Carlton,9,2018-06-26 12:17:54,0,11,100,3,15,Round 8,15,1399886400,Docklands,Carlton,101,8,2014,0,69,Full Time,2014
1.0,2014-05-15 19:20:00,+10:00,2014-05-15 19:50:00,2350,7,Adelaide,Collingwood,10,2018-06-26 12:17:54,0,13,100,4,1,Round 9,16,1400147400,Adelaide Oval,Adelaide,55,9,2014,0,76,Full Time,2014
16.0,2014-05-16 19:50:00,+10:00,2014-05-16 19:50:00,2351,18,Essendon,Sydney,9,2018-06-26 12:17:54,0,6,100,16,5,Round 9,10,1400233800,Docklands,Sydney,114,9,2014,0,64,Full Time,2014
11.0,2014-05-17 13:40:00,+10:00,2014-05-17 13:40:00,2352,14,Richmond,Melbourne,9,2018-06-26 12:17:54,0,7,100,11,14,Round 9,20,1400298000,M.C.G.,Melbourne,91,9,2014,0,74,Full Time,2014
12.0,2014-05-17 16:40:00,+10:00,2014-05-17 16:40:00,2353,6,North Melbourne,Brisbane Lions,17,2018-06-26 12:17:54,0,2,100,2,12,Round 9,23,1400308800,Docklands,North Melbourne,38,9,2014,0,125,Full Time,2014
6.0,2014-05-17 17:40:00,+10:00,2014-05-17 19:40:00,2354,9,Fremantle,Geelong,13,2018-06-26 12:17:54,0,10,100,7,6,Round 9,18,1400319600,Subiaco,Fremantle,64,9,2014,0,96,Full Time,2014
8.0,2014-05-18 16:40:00,+10:00,2014-05-18 16:40:00,2364,19,St Kilda,Gold Coast,13,2018-06-26 12:17:55,0,11,100,8,15,Round 9,9,1400395200,Docklands,Gold Coast,125,9,2014,0,87,Full Time,2014
7.0,2014-05-23 19:50:00,+10:00,2014-05-23 19:50:00,2365,13,Geelong,North Melbourne,16,2018-06-26 12:17:55,0,13,100,12,7,Round 10,15,1400838600,GMHBA Stadium,Geelong,91,10,2014,0,111,Full Time,2014
14.0,2014-05-24 13:40:00,+10:00,2014-05-24 13:40:00,2366,24,Greater Western Sydney,Richmond,5,2018-06-26 12:17:55,0,10,100,14,9,Round 10,11,1400902800,Sydney Showground,Richmond,154,10,2014,0,41,Full Time,2014
4.0,2014-05-24 16:40:00,+10:00,2014-05-24 16:40:00,2367,15,Collingwood,West Coast,17,2018-06-26 12:17:55,0,11,100,17,4,Round 10,7,1400913600,M.C.G.,Collingwood,101,10,2014,0,109,Full Time,2014
13.0,2014-05-24 19:10:00,+10:00,2014-05-24 19:40:00,2368,13,Port Adelaide,Hawthorn,15,2018-06-26 12:17:55,0,8,100,10,13,Round 10,10,1400924400,Adelaide Oval,Port Adelaide,86,10,2014,0,100,Full Time,2014
8.0,2014-05-25 15:20:00,+10:00,2014-05-25 15:20:00,2369,10,Gold Coast,Western Bulldogs,18,2018-06-26 12:17:55,0,14,100,18,8,Round 10,11,1400995200,Carrara,Gold Coast,74,10,2014,0,119,Full Time,2014
3.0,2014-05-25 16:40:00,+10:00,2014-05-25 16:40:00,2370,10,Carlton,Adelaide,12,2018-06-26 12:17:55,0,16,100,1,3,Round 10,9,1401000000,M.C.G.,Carlton,76,10,2014,0,81,Full Time,2014
16.0,2014-05-29 19:10:00,+10:00,2014-05-29 19:10:00,2371,5,Sydney,Geelong,22,2018-06-26 12:17:55,0,8,100,7,16,Round 11,16,1401354600,S.C.G.,Sydney,38,11,2014,0,148,Full Time,2014
4.0,2014-05-30 19:50:00,+10:00,2014-05-30 19:50:00,2372,21,St Kilda,Collingwood,8,2018-06-26 12:17:55,0,14,100,4,15,Round 11,6,1401443400,Docklands,Collingwood,140,11,2014,0,54,Full Time,2014
13.0,2014-05-31 13:10:00,+10:00,2014-05-31 13:40:00,2373,14,Melbourne,Port Adelaide,11,2018-06-26 12:17:55,0,11,100,13,11,Round 11,9,1401507600,Traeger Park,Port Adelaide,95,11,2014,0,75,Full Time,2014
2.0,2014-05-31 16:40:00,+10:00,2014-05-31 16:40:00,2374,13,Brisbane Lions,Carlton,14,2018-06-26 12:17:55,0,13,100,3,2,Round 11,14,1401518400,Gabba,Brisbane Lions,91,11,2014,0,98,Full Time,2014
5.0,2014-05-31 19:45:00,+10:00,2014-05-31 19:45:00,2385,7,Essendon,Richmond,15,2018-06-26 12:17:55,0,12,100,14,5,Round 11,14,1401529500,M.C.G.,Essendon,54,11,2014,0,104,Full Time,2014
1.0,2014-06-01 12:40:00,+10:00,2014-06-01 13:10:00,2386,11,Adelaide,Gold Coast,16,2018-06-26 12:17:55,0,11,100,8,1,Round 11,13,1401592200,Adelaide Oval,Adelaide,77,11,2014,0,109,Full Time,2014
6.0,2014-06-01 15:20:00,+10:00,2014-06-01 15:20:00,2387,13,Western Bulldogs,Fremantle,6,2018-06-26 12:17:55,0,11,100,6,18,Round 11,15,1401600000,Docklands,Fremantle,89,11,2014,0,51,Full Time,2014
10.0,2014-06-01 16:40:00,+10:00,2014-06-01 16:40:00,2388,13,Hawthorn,Greater Western Sydney,14,2018-06-26 12:17:55,0,9,100,9,10,Round 11,10,1401604800,M.C.G.,Hawthorn,87,11,2014,0,94,Full Time,2014
12.0,2014-06-01 17:40:00,+10:00,2014-06-01 19:40:00,2389,12,West Coast,North Melbourne,6,2018-06-26 12:17:55,0,10,100,12,17,Round 11,8,1401615600,Subiaco,North Melbourne,82,11,2014,0,44,Full Time,2014
7.0,2014-06-06 19:50:00,+10:00,2014-06-06 19:50:00,2390,15,Geelong,Carlton,16,2018-06-26 12:17:55,0,12,100,3,7,Round 12,11,1402048200,Docklands,Geelong,102,12,2014,0,107,Full Time,2014
10.0,2014-06-07 13:40:00,+10:00,2014-06-07 13:40:00,2391,12,Hawthorn,West Coast,19,2018-06-26 12:17:55,0,7,100,17,10,Round 12,9,1402112400,University of Tasmania Stadium,Hawthorn,79,12,2014,0,123,Full Time,2014
13.0,2014-06-07 16:10:00,+10:00,2014-06-07 16:40:00,2392,9,Port Adelaide,St Kilda,19,2018-06-26 12:17:55,0,5,100,15,13,Round 12,15,1402123200,Adelaide Oval,Port Adelaide,59,12,2014,0,129,Full Time,2014
5.0,2014-06-07 19:40:00,+10:00,2014-06-07 19:40:00,2393,11,Greater Western Sydney,Essendon,9,2018-06-26 12:17:55,0,15,100,5,9,Round 12,12,1402134000,Sydney Showground,Essendon,81,12,2014,0,66,Full Time,2014
2.0,2014-06-07 19:40:00,+10:00,2014-06-07 19:40:00,2394,14,Western Bulldogs,Brisbane Lions,13,2018-06-26 12:17:55,0,11,100,2,18,Round 12,9,1402134000,Docklands,Brisbane Lions,95,12,2014,0,87,Full Time,2014
16.0,2014-06-08 15:20:00,+10:00,2014-06-08 15:20:00,2408,17,Gold Coast,Sydney,10,2018-06-26 12:17:55,0,7,100,16,8,Round 12,14,1402204800,Carrara,Sydney,109,12,2014,0,74,Full Time,2014
6.0,2014-06-08 14:10:00,+10:00,2014-06-08 16:10:00,2409,7,Fremantle,Adelaide,12,2018-06-26 12:17:55,0,8,100,1,6,Round 12,18,1402207800,Subiaco,Fremantle,50,12,2014,0,90,Full Time,2014
12.0,2014-06-08 19:10:00,+10:00,2014-06-08 19:10:00,2410,13,North Melbourne,Richmond,17,2018-06-26 12:17:55,0,10,100,14,12,Round 12,14,1402218600,Docklands,North Melbourne,88,12,2014,0,116,Full Time,2014
4.0,2014-06-09 15:20:00,+10:00,2014-06-09 15:20:00,2411,8,Melbourne,Collingwood,3,2018-06-26 12:17:55,0,13,100,4,11,Round 12,10,1402291200,M.C.G.,Collingwood,61,12,2014,0,28,Full Time,2014
10.0,2014-06-13 19:50:00,+10:00,2014-06-13 19:50:00,2412,18,Carlton,Hawthorn,13,2018-06-26 12:17:55,0,10,100,10,3,Round 13,12,1402653000,M.C.G.,Hawthorn,118,13,2014,0,90,Full Time,2014
6.0,2014-06-14 13:45:00,+10:00,2014-06-14 13:45:00,2413,16,Richmond,Fremantle,12,2018-06-26 12:17:55,0,9,100,6,14,Round 13,13,1402717500,M.C.G.,Fremantle,105,13,2014,0,85,Full Time,2014
16.0,2014-06-14 14:10:00,+10:00,2014-06-14 14:10:00,2414,13,Sydney,Port Adelaide,14,2018-06-26 12:17:55,0,16,100,13,16,Round 13,14,1402719000,S.C.G.,Sydney,94,13,2014,0,98,Full Time,2014
17.0,2014-06-14 14:40:00,+10:00,2014-06-14 16:40:00,2419,15,West Coast,Gold Coast,15,2018-06-26 12:17:56,0,10,100,8,17,Round 13,13,1402728000,Subiaco,West Coast,100,13,2014,0,103,Full Time,2014
1.0,2014-06-14 19:10:00,+10:00,2014-06-14 19:40:00,2420,10,Adelaide,North Melbourne,16,2018-06-26 12:17:56,0,13,100,12,1,Round 13,13,1402738800,Adelaide Oval,Adelaide,73,13,2014,0,109,Full Time,2014
9.0,2014-06-14 19:40:00,+10:00,2014-06-14 19:40:00,2421,19,Brisbane Lions,Greater Western Sydney,12,2018-06-26 12:17:56,0,11,100,9,2,Round 13,8,1402738800,Gabba,Greater Western Sydney,125,13,2014,0,80,Full Time,2014
7.0,2014-06-15 13:10:00,+10:00,2014-06-15 13:10:00,2422,5,Geelong,St Kilda,20,2018-06-26 12:17:56,0,7,100,15,7,Round 13,13,1402801800,GMHBA Stadium,Geelong,37,13,2014,0,133,Full Time,2014
18.0,2014-06-15 15:20:00,+10:00,2014-06-15 15:20:00,2423,16,Collingwood,Western Bulldogs,15,2018-06-26 12:17:56,0,10,100,18,4,Round 13,8,1402809600,Docklands,Western Bulldogs,106,13,2014,0,98,Full Time,2014
11.0,2014-06-15 16:40:00,+10:00,2014-06-15 16:40:00,2424,12,Essendon,Melbourne,10,2018-06-26 12:17:56,0,6,100,11,5,Round 13,17,1402814400,M.C.G.,Melbourne,78,13,2014,0,77,Full Time,2014
16.0,2014-06-20 19:50:00,+10:00,2014-06-20 19:50:00,2425,9,Richmond,Sydney,7,2018-06-26 12:17:56,0,8,100,16,14,Round 14,9,1403257800,M.C.G.,Sydney,62,14,2014,0,51,Full Time,2014
13.0,2014-06-21 13:15:00,+10:00,2014-06-21 13:45:00,2426,8,Port Adelaide,Western Bulldogs,19,2018-06-26 12:17:56,0,8,100,18,13,Round 14,14,1403322300,Adelaide Oval,Port Adelaide,56,14,2014,0,128,Full Time,2014
10.0,2014-06-21 14:10:00,+10:00,2014-06-21 14:10:00,2427,13,Hawthorn,Collingwood,17,2018-06-26 12:17:56,0,8,100,4,10,Round 14,13,1403323800,M.C.G.,Hawthorn,86,14,2014,0,115,Full Time,2014
8.0,2014-06-21 16:40:00,+10:00,2014-06-21 16:40:00,2428,11,Gold Coast,Geelong,17,2018-06-26 12:17:56,0,12,100,7,8,Round 14,16,1403332800,Carrara,Gold Coast,78,14,2014,0,118,Full Time,2014
5.0,2014-06-21 19:40:00,+10:00,2014-06-21 19:40:00,2430,14,Essendon,Adelaide,15,2018-06-26 12:17:56,0,8,100,1,5,Round 14,11,1403343600,Docklands,Essendon,92,14,2014,0,101,Full Time,2014
6.0,2014-06-21 17:40:00,+10:00,2014-06-21 19:40:00,2429,3,Fremantle,Brisbane Lions,15,2018-06-26 12:17:56,0,4,100,2,6,Round 14,15,1403343600,Subiaco,Fremantle,22,14,2014,0,105,Full Time,2014
9.0,2014-06-22 13:10:00,+10:00,2014-06-22 13:10:00,2431,14,Greater Western Sydney,Carlton,15,2018-06-26 12:17:56,0,8,100,3,9,Round 14,10,1403406600,Sydney Showground,Greater Western Sydney,92,14,2014,0,100,Full Time,2014
17.0,2014-06-22 15:20:00,+10:00,2014-06-22 15:20:00,2432,15,St Kilda,West Coast,10,2018-06-26 12:17:56,0,13,100,17,15,Round 14,10,1403414400,Docklands,West Coast,103,14,2014,0,70,Full Time,2014
12.0,2014-06-22 16:40:00,+10:00,2014-06-22 16:40:00,2433,15,Melbourne,North Melbourne,10,2018-06-26 12:17:56,0,17,100,12,11,Round 14,6,1403419200,M.C.G.,North Melbourne,107,14,2014,0,66,Full Time,2014
7.0,2014-06-27 19:50:00,+10:00,2014-06-27 19:50:00,2434,11,Geelong,Essendon,13,2018-06-26 12:17:56,0,14,100,5,7,Round 15,11,1403862600,Docklands,Geelong,80,15,2014,0,89,Full Time,2014
10.0,2014-06-28 13:45:00,+10:00,2014-06-28 13:45:00,2445,10,Hawthorn,Gold Coast,17,2018-06-26 12:17:57,0,3,100,8,10,Round 15,14,1403927100,University of Tasmania Stadium,Hawthorn,63,15,2014,0,116,Full Time,2014
14.0,2014-06-28 14:10:00,+10:00,2014-06-28 14:10:00,2446,18,St Kilda,Richmond,11,2018-06-26 12:17:57,0,9,100,14,15,Round 15,7,1403928600,Docklands,Richmond,117,15,2014,0,73,Full Time,2014
6.0,2014-06-28 14:40:00,+10:00,2014-06-28 16:40:00,2447,11,Fremantle,West Coast,13,2018-06-26 12:17:57,0,15,100,17,6,Round 15,10,1403937600,Subiaco,Fremantle,81,15,2014,0,88,Full Time,2014
2.0,2014-06-28 19:40:00,+10:00,2014-06-28 19:40:00,2449,9,Brisbane Lions,North Melbourne,10,2018-06-26 12:17:57,0,12,100,12,2,Round 15,10,1403948400,Gabba,Brisbane Lions,66,15,2014,0,70,Full Time,2014
16.0,2014-06-28 19:40:00,+10:00,2014-06-28 19:40:00,2448,8,Sydney,Greater Western Sydney,15,2018-06-26 12:17:57,0,12,100,9,16,Round 15,16,1403948400,S.C.G.,Sydney,60,15,2014,0,106,Full Time,2014
18.0,2014-06-29 13:10:00,+10:00,2014-06-29 13:10:00,2450,13,Western Bulldogs,Melbourne,14,2018-06-26 12:17:57,0,7,100,11,18,Round 15,7,1404011400,Docklands,Western Bulldogs,85,15,2014,0,91,Full Time,2014
1.0,2014-06-29 15:40:00,+10:00,2014-06-29 16:10:00,2451,10,Adelaide,Port Adelaide,14,2018-06-26 12:17:57,0,16,100,13,1,Round 15,15,1404022200,Adelaide Oval,Adelaide,76,15,2014,0,99,Full Time,2014
4.0,2014-06-29 19:10:00,+10:00,2014-06-29 19:10:00,2452,11,Collingwood,Carlton,13,2018-06-26 12:17:57,0,10,100,3,4,Round 15,13,1404033000,M.C.G.,Collingwood,76,15,2014,0,91,Full Time,2014
12.0,2014-07-04 19:50:00,+10:00,2014-07-04 19:50:00,2453,13,North Melbourne,Hawthorn,16,2018-06-26 12:17:57,0,10,100,10,12,Round 16,12,1404467400,Docklands,North Melbourne,88,16,2014,0,108,Full Time,2014
14.0,2014-07-05 13:45:00,+10:00,2014-07-05 13:45:00,2454,7,Richmond,Brisbane Lions,12,2018-06-26 12:17:57,0,12,100,2,14,Round 16,7,1404531900,M.C.G.,Richmond,54,16,2014,0,79,Full Time,2014
1.0,2014-07-05 14:10:00,+10:00,2014-07-05 14:10:00,2459,20,Greater Western Sydney,Adelaide,9,2018-06-26 12:17:57,0,20,100,1,9,Round 16,18,1404533400,Sydney Showground,Adelaide,140,16,2014,0,72,Full Time,2014
8.0,2014-07-05 16:40:00,+10:00,2014-07-05 16:40:00,2460,10,Gold Coast,Collingwood,11,2018-06-26 12:17:57,0,15,100,4,8,Round 16,14,1404542400,Carrara,Gold Coast,75,16,2014,0,80,Full Time,2014
6.0,2014-07-05 19:10:00,+10:00,2014-07-05 19:40:00,2461,15,Melbourne,Fremantle,4,2018-06-26 12:17:57,0,7,100,6,11,Round 16,10,1404553200,Marrara Oval,Fremantle,97,16,2014,0,34,Full Time,2014
